product,response value,response,sentiment compound,lemm,question
Chobani Original,8,I like the taste. I like how creamy it is. I like the chunks of strawberries.,75.79,"['like', 'taste', 'like', 'creamy', 'like', 'chunk', 'strawberry']",Liking
Chobani Smooth,8,Great consistency. It lived up to the  smooth  name.,62.49,"['great', 'consistency', 'live', 'smooth', 'name']",Liking
Chobani Original,9,I enjoy the flavor of the yogurt and the tart of it. I also like the amount of fruit on the bottom.,69.08,"['enjoy', 'flavor', 'yogurt', 'tart', 'also', 'like', 'amount', 'fruit', 'bottom']",Liking
Chobani Smooth,8,"Smooth and creamy with no seeds, tastes like strawberry ice cream.  No bad aftertaste.",-65.97,"['smooth', 'creamy', 'seed', 'taste', 'like', 'strawberry', 'ice', 'cream', 'bad', 'aftertaste']",Liking
Chobani Original,7,Did not have a sour taste like some Greek yogurts,36.12,"['sour', 'taste', 'like', 'greek', 'yogurt']",Liking
Chobani Smooth,4,It was very creamy. The bits of strawberry added flavor.,0,"['creamy', 'bit', 'strawberry', 'add', 'flavor']",Liking
Chobani Original,8,"I like the creaminess, texture, and pleasant aftertaste. I really enjoy the thickness of this Chobani Greek Yogurt.",85.16,"['like', 'creaminess', 'texture', 'pleasant', 'aftertaste', 'really', 'enjoy', 'thickness', 'chobani', 'greek', 'yogurt']",Liking
Chobani Smooth,7,"Very smooth, a great taste that's a balance of sweet and tangy. I liked that it tasted more like Greek yogurt than regular yogurt.",91.81,"['smooth', 'great', 'taste', 'thats', 'balance', 'sweet', 'tangy', 'like', 'taste', 'like', 'greek', 'yogurt', 'regular', 'yogurt']",Liking
Chobani Original,9,I liked the strawberry flavor and the creamy Greek style consistency. I also liked the nutritional info.,68.08,"['like', 'strawberry', 'flavor', 'creamy', 'greek', 'style', 'consistency', 'also', 'like', 'nutritional', 'info']",Liking
Chobani Smooth,8,It has a nice pink color and pleasant strawberry smell.  I enjoyed the smooth texture and a good aftertaste.  The amount of sweetness was just right as well.,94.85,"['nice', 'pink', 'color', 'pleasant', 'strawberry', 'smell', 'enjoy', 'smooth', 'texture', 'good', 'aftertaste', 'amount', 'sweetness', 'right', 'well']",Liking
Chobani Original,8,good amount of real fruit mixed with yogurt  -just the right amount of sweetness  -liked the thickness and texture of this sample  -pleasant aftertaste,90.42,"['good', 'amount', 'real', 'fruit', 'mixed', 'yogurt', 'right', 'amount', 'sweetness', 'like', 'thickness', 'texture', 'sample', 'pleasant', 'aftertaste']",Liking
Chobani Smooth,7,it was smooth without chunks,0,"['smooth', 'without', 'chunk']",Liking
