product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,product_improvement_free_text
581,8,The taste lasts longer than normal,3,"The name smoky BBQ comes with a level of expectations and being from the south raised around BBQ pits, smokers and BBQ sauce so when i'm presented with a food that's called smoky BBQ i expect to have flash backs to when i was a kid growing up in the south and it defiantly delivered.",Nothing
623,8,The taste last longer than usual,4,See pryer,Nothing but i hope you plan on changing out the white packaging
802,8,Like before the taste last longer for some reason.,3,The best way to say this is the taste matched the name.,There's not enough so make the sizes bigger.
581,8,"I like that its different than most low calorie snack bars in the sense that those are usually sweet. The savory is a nice change of pace.  I like that the main ingredients are visible and gives a chunky texture and not pieced and soft.  I like the flavor, it doesn't start right away and it hits you in the back end.  The flavor stays with you, so I think that could help with cravings for wanting to eat more.",4,"I was expecting more of a peanut only flavor.I know thats the main ingredient, but the other ingredients and the flavoring are what makes  it better","It matches the stereotypical joke about Nature Valley in the sense that the bars are messy.  I found pieces in my shirt, table and floor after taking a bite, and I'm not typically a messy eater.  The color makes me question what holds the bar together.  I like a little more flavor than most, so I wonder if you could offer a bold and spicy pack and a regular pack"
623,8,"I like that it is different than most bars because it is savory rather than sweet. I like that the main ingredients are identifiable, I like that the flavor lasts to probably help with cravings and wanting to eat more.",4,The flavor is better than I thought it would be.  I have eaten savory  diet  bars from a weight loss company before and they tasted like metal and not good.,Its extremely crumbly and messy.  I would like to see it not fall apart so easily when you take a bite
802,8,"I like the flavor and how it lasts for a bit, I like how the ingredients are identifiable, I like the crunchy texture, I like that its different than most bars",4,"The flavor was good, better than I thought it would be. It leaves a good after flavor. I thought it would taste most like peanuts, but it didn't, and that was a nice surprise.  I buy flavored nuts and this bar would be nice to add to the variety of my snacks","Its too messy, I think if it was a little less hard/ crunchy it would help it not get everywhere"
581,6,I like the taste and aftertaste of bbq.,3,I went into study knowing this wouldn't be an overly sweet granola bar.,slightly sweeter
623,6,strong bbq taste,3,product seems like what I would imagine a savory granola bar would taste like,slightly sweeter
802,6,sweetest of the 3 products,3,"nice size, taste, and crunchiness",n/a
581,7,"I like the immediate salty taste and the texture overall. There is a nice warm/hot aftertaste that isn't too strong but suggests the BBQ flavor. It isn't TOO hard (as some similar bars are), so it is both easy to bite and chew.",4,I'm really digging the texture. I eat a lot of nature valley granola bars and I think I prefer this texture (a little less hard and crunchy). The BBQ is there and it remains me a bit of it on potato chips. I might want the flavor to be a little more clear but it was the only one of the three that captured what I'm looking for in this  new  product type.,"I want a little more immediate, upfront BBQ flavor. My preference would be leaning it toward the sweet spectrum, maybe a bit of a honey flavor. I like this bar best since the flavor was more noticeable, but I tend to like the sweeter BBQ flavors over the hot (so like Honey BBQ chips over spicy BBQ)"
623,5,I think the texture and crunch is pretty nice. There is a little  heat  after tasting that I kind of enjoy.,2,"I feel the promise of the flavor wasn't there enough. The texture and crunch was nice, better than the average bar, but only the salt was there enough to be  good  for me. I wanted a clearer BBQ taste.","The BBQ taste for me is only detectable in the aftertaste. I get a sense of salt and I like the texture, but the BBQ flavor is lost in the ingredients or the configuration. And then a bit later I have the aftertaste, which is kind of strong, but it makes me wish I had that flavor upfront in the original bite."
802,7,"This one is a bit more crunchy. It is at the edge of hardness. I wouldn't want it harder. The BBQ taste is a little more upfront, which I like. The texture and crunch is pretty nice overall.",3,I think the texture and ingredient taste is slightly above average and the BBQ at or slightly below expectation. It hints at what I wants but I feel the first product hits the mix a bit better.,"A little less crunchy (by like 5-10%), a little more upfront flavor but a little more sweet than hot. The hot aftertaste is just a tad higher than I would like. I would LOVE some honey or similar sweet flavor in there."
581,4,The crunch,2,The smoky taste is too over powering.,Less salty and too much of a flavor roller coaster.
623,3,The crunch of the bar.,2,The smoky flavor is too strong and the bar leaves a strange aftertaste in my mouth.,The flavor.
802,7,The crunch and the bar looks tasty.,3,The flavor is good but could be better.,The smoky flavor is still a little too strong; there’s more of a peanut butter flavor.
581,3,Its crunchy. Packaging makes its an easy snack for on the go. It is something unique that I've not had before. Flavor reminds me of bbq chips.,3,I didn't have expectations other than the label that it was BBQ. I enjoy bbq flavor sauce and chips so I was interested in trying.  I don't know that I would choose this product over a chip product.,The orange tint makes it look burnt. Breaks apart easily and is very messy.
623,6,I like the flavor better. reminds me of Lays bbq chips. The after taste hangs around more.  The peanuts in this one also have a dominant taste.,3,I compared it with the first trial I did so I had a better expectation this time.  I liked the lingering flavor of this bar.,The look of it.  The color of it is unnatural. It did fall apart more but I liked how it was softer to chew.
802,2,I do like the crunchiness. I also stayed together better and wasn't as messy.,1,The flavor is immediately gone.  It also doesn't have as much flavor as the other samples.,The appearance isn't appealing. The flavor doesn't linger at all.
581,7,The crunchiness and the taste.,3,From the first sight and the aroma it fit right where I thought it would be taste wise.,A little more sweetness maybe and the appearance is a bit drab.
623,6,I like the crunchiness and and the taste a little bit.,3,It just looked and tasted like I thought it was going to be.,Maybe a different appearance.
802,7,I liked the taste and texture of this one.,4,This one tasted a bit better to me than the last two.,A small change to appearance maybe.
581,9,What I like about this product is the flavors and texture of the ingredients and freshness.,3,The product met my expectations for the product because I was expecting a barbecue flavor that was not that strong.,I would add more flavors and combinations to people's liking.
623,4,The product was too hard for my teeth I felt like they were going to break.,2,The product did not met my expectations because it's way too hard for my teeth,I would change the texture of it and how soft the product is
802,7,What I like about the product is the flavor and texture of it,4,The product met my expectations because it was really flavorful.,What I would change about the product would be the crunchiness I would make it more softer.
581,4,The savory bbq flavor and the crunch.,2,It was a bit too sweet,It was a bit too sweet.
623,8,The barbecue flavor and crunch when biting into the product.,4,It tastes even better than I had expected.,I don't think I would change anything about this product.
802,7,It has a great crunch,3,It tasted how I expected it to taste.,Maybe make it a bit more savory.
581,2,once chewed it becomes very creamy in your mouth and the flavor comes and goes and is not pleasing,1,the multitude of textures were too much,"The bar appears to be coated in something, not like a normal Nature Valley Granola Bar"
623,5,flavor is not overpowering,2,I think Nature Valley!  this is not that.  Looks more like a knock off,"Appearance, bar looks coated in something."
802,2,not much,1,I think of Nature Valley as a top healthy snack brand.  The flavor is not appealing at all,the flavor - too smoky and this one has the creamy texture when chewed too
581,8,I like the crunchiness of this bar. I like the taste of the nuts and smoky taste,4,I expect good things from Nature Valley. The product is good and crunchy with nuts and seeds,I don't think anything needs to be changed with this product
623,8,I like the taste and the smoky flavor I get with each bite. I also enjoy the crispy pieces that I taste with each bite,4,I thought it was going to be a bbq coating and it is a bbq seasoning. I actually like the dry season better,I think it might taste a little better with a cheese flavored added to it
802,7,I like the crunchiness and the look of the product. I can see it has nuts in it and that it healthy,3,It should have more nuts and more bbq flavor. It is a good product but I would like a variety of nuts,I think the taste is not that much of a bbq flavor.   I would maybe add some bigger nuts like almonds or pecans
581,6,this one was difficult to decide whether i liked or disliked at first.  i do like the tangy flavor of this bar after having more than the initial taste. i like the texture of the bar.,3,i figured it would have some tangy flavor. i expected it to be an orange tone in color. i expected it to be crunchy in texture.,i would tone down the zingy flavor a bit. It is a bit much at first but in the end i think it was ok.
623,2,i like the texture of the bar.,2,i expected more flavor to this i guess. it was just sort of  off  tasting to me.,i would make the taste more of a bbq flavor. i feel like it's bland
802,7,i like the initial flavor upon eating. i also like the aftertaste of this bar. i like the texture as well.,4,"i was pleasantly surprised that i enjoyed this bar as much as i did, after tasting the first 2 bars. this one was the best of the bunch. i was expecting to not like the flavor after the other 2, and especially after the one i had just prior to this one.",i dont know what i would do to improve upon this product. this bar was the best of the bars.
581,8,Crunchy and savory with a hint of sweetness.,5,It has good amount of BBQ flavor,Nothing
623,8,BBQ flavor,5,"Enjoy the crunchy and BBQ flavor, very unique",The bar is crumbly
