product_code,like_compound,liking_free_text_no_punc_tokenized_no_stop_lemm,question
Chobani Original,0.7579,"['like', 'taste', 'like', 'creamy', 'like', 'chunk', 'strawberry']",Liking
Chobani Smooth,0.6249,"['great', 'consistency', 'live', 'smooth', 'name']",Liking
Chobani Original,0.6908,"['enjoy', 'flavor', 'yogurt', 'tart', 'also', 'like', 'amount', 'fruit', 'bottom']",Liking
Chobani Smooth,-0.6597,"['smooth', 'creamy', 'seed', 'taste', 'like', 'strawberry', 'ice', 'cream', 'bad', 'aftertaste']",Liking
Chobani Original,0.3612,"['sour', 'taste', 'like', 'greek', 'yogurt']",Liking
Chobani Smooth,0,"['creamy', 'bit', 'strawberry', 'add', 'flavor']",Liking
Chobani Original,0.8516,"['like', 'creaminess', 'texture', 'pleasant', 'aftertaste', 'really', 'enjoy', 'thickness', 'chobani', 'greek', 'yogurt']",Liking
Chobani Smooth,0.9181,"['smooth', 'great', 'taste', 'thats', 'balance', 'sweet', 'tangy', 'like', 'taste', 'like', 'greek', 'yogurt', 'regular', 'yogurt']",Liking
Chobani Original,0.6808,"['like', 'strawberry', 'flavor', 'creamy', 'greek', 'style', 'consistency', 'also', 'like', 'nutritional', 'info']",Liking
Chobani Smooth,0.9485,"['nice', 'pink', 'color', 'pleasant', 'strawberry', 'smell', 'enjoy', 'smooth', 'texture', 'good', 'aftertaste', 'amount', 'sweetness', 'right', 'well']",Liking
Chobani Original,0.9042,"['good', 'amount', 'real', 'fruit', 'mixed', 'yogurt', 'right', 'amount', 'sweetness', 'like', 'thickness', 'texture', 'sample', 'pleasant', 'aftertaste']",Liking
Chobani Smooth,0,"['smooth', 'without', 'chunk']",Liking
Chobani Original,0.8906,"['healthy', 'package', 'option', 'get', 'protein', 'sweet', 'terribly', 'sugary', 'taste', 'design', 'package', 'easy', 'hold']",Liking
Chobani Smooth,0.4404,"['smooth', 'creamy', 'texture', 'good', 'flavor']",Liking
Chobani Original,-0.5106,"['creamy', 'smooth', 'filling', 'ample', 'chunk', 'strawberry', 'real', 'fruit', 'taste', 'low', 'caleries', '12', 'g', 'protein']",Liking
Chobani Smooth,0.6486,"['like', 'flavor', 'yogurt', 'nice', 'strawberry', 'taste', 'creamy', 'smooth']",Liking
Chobani Original,0.5106,"['thick', 'creamy', 'consistency', 'strong', 'flavor']",Liking
Chobani Smooth,0,"['creaminess', 'smoothness']",Liking
Chobani Original,0.5095,"['satisfy', 'smooth', 'creamy']",Liking
Chobani Smooth,0.8458,"['yogurt', 'creamy', 'strawberry', 'taste', 'tart', 'sweet', 'present', 'product', 'chunk', 'fruit', 'nice', 'right', 'amount']",Liking
Chobani Original,0.6705,"['packaging', 'nice', 'clearly', 'state', 'inside', 'greek', 'yogurt', 'strawberry', 'bottom']",Liking
Chobani Smooth,0.4939,"['level', 'sweetness', 'sugary']",Liking
Chobani Original,0.0823,"['creamy', 'nice', 'strawberry', 'flavor', 'sweet']",Liking
Chobani Smooth,0.4215,"['like', 'yogurt', 'protein', 'regular', 'yogurt']",Liking
Chobani Original,-0.357,"['sweet', 'small', 'glob', 'make', 'seem', 'richcreamythick', 'like', 'cottage', 'cheese']",Liking
Chobani Smooth,0,"['thinness', 'yogurt', 'smoothness']",Liking
Chobani Original,0,"['strawberry', 'flavor', 'fruit', 'piece']",Liking
Chobani Smooth,0.5574,"['creamy', 'rich']",Liking
Chobani Original,0.4404,"['creamy', 'texture', 'strawberry', 'flavor', 'good']",Liking
Chobani Smooth,0,"['extra', 'creamy', 'consistency']",Liking
Chobani Original,0.8402,"['like', 'thickness', 'taste', 'texture', 'strawberry', 'chunk', 'strawberry', 'flavor', 'like', 'lot', 'protein', '100', 'calorie', 'also', 'like', 'natural', 'color', 'artificially', 'dye']",Liking
Chobani Smooth,0.4404,"['price', 'le', 'sugar', 'protein', 'strawberry', 'flavor', 'would', 'want', 'eat', 'another', 'one', 'right', 'flavor', 'good']",Liking
Chobani Original,0,"['smooth', 'creamy', 'texture']",Liking
Chobani Smooth,0.3612,"['like', 'smooth', 'texture', 'even', 'flavor', 'throughout']",Liking
Chobani Original,0.4754,"['really', 'liked', 'thickness', 'felt', 'heavy', 'solid']",Liking
Chobani Smooth,0.4939,"['smoothness', 'right', 'amount', 'sweetness']",Liking
Chobani Original,0.9244,"['nutrition', 'label', 'one', 'top', 'reason', 'like', 'yogurt', 'love', 'fat', 'free', 'look', 'first', 'page', 'think', 'variety', 'appeal', 'flavor', 'choose', 'taste', 'texture', 'pretty', 'good', 'could', 'smoother', 'stir', 'mine', 'quite', 'bit', 'still', 'small', 'chunk', 'yogurt', 'however', 'really', 'liked', 'size', 'taste', 'strawberry']",Liking
Chobani Smooth,0.6808,"['like', 'strawberry', 'flavor', 'fruit', 'piecesit', 'smooth', 'nice', 'taste']",Liking
Chobani Original,0.9393,"['like', 'thickness', 'yogurt', 'taste', 'greek', 'yogurt', 'sour', 'sweet', 'good', 'balance', 'strawberry', 'yogurt', 'like', 'find', 'chunk', 'strawberry', 'like', 'package', 'unique', 'easy', 'find', 'yogurt', 'section', 'store']",Liking
Chobani Smooth,0.8126,"['liked', 'creaminess', 'product', 'also', 'like', 'nice', 'subtle', 'flavor']",Liking
Chobani Original,0.8461,"['thick', 'creamy', 'consistency', 'thickness', 'make', 'seem', 'like', 'dessert', 'natural', 'ingredient', 'good', 'strawberry', 'flavor', 'growth', 'hormone']",Liking
Chobani Smooth,0.7717,"['love', 'smooth', 'texture', 'overall', 'taste', 'texture', 'feel', 'like', 'extremely', 'whip', 'like', 'whip', 'cream', 'provide', 'different', 'type', 'texture', 'traditional', 'yogurt', 'opinion', 'typical', 'yogurt', 'whip', 'version', 'yogurt', 'typical', 'yogurt', 'tend', 'separate', 'whip']",Liking
Chobani Original,0.9779,"['like', 'strawberry', 'taste', 'think', 'good', 'amount', 'sweetness', 'sweetit', 'good', 'amount', 'tartness', 'like', 'good', 'amount', 'protein', 'like', 'serve', 'size', 'perfect', 'amount', 'snack']",Liking
Chobani Smooth,0.7964,"['taste', 'great', 'sweet', 'smooth']",Liking
Chobani Original,0.1078,"['product', 'sweet', 'thicker', 'taste', 'thick', 'good', 'flavor', 'overall', 'something', 'would', 'eat']",Liking
Chobani Smooth,0.6273,"['like', 'smooth', 'creamy', 'texture', 'awesome', 'taste', 'sweet']",Liking
Chobani Original,0.4404,"['lot', 'fruit', 'cup', 'good', 'flavor', 'filling']",Liking
Chobani Smooth,0,['creamy'],Liking
