product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,product_improvement_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,product_improvement_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound,prod_improve_compound
BBQ - Control (Texas BBQ),8,The taste lasts longer than normal,3,"The name smoky BBQ comes with a level of expectations and being from the south raised around BBQ pits, smokers and BBQ sauce so when i'm presented with a food that's called smoky BBQ i expect to have flash backs to when i was a kid growing up in the south and it defiantly delivered.",Nothing,"['taste', 'last', 'long', 'normal']","['name', 'smoky', 'bbq', 'come', 'level', 'expectation', 'south', 'raise', 'around', 'bbq', 'pit', 'smoker', 'bbq', 'sauce', 'im', 'present', 'food', 'thats', 'call', 'smoky', 'bbq', 'expect', 'flash', 'back', 'kid', 'grow', 'south', 'defiantly', 'deliver']",['nothing'],0,0.128,0
BBQ - Test 13,8,The taste last longer than usual,4,See pryer,Nothing but i hope you plan on changing out the white packaging,"['taste', 'last', 'long', 'usual']","['see', 'pryer']","['nothing', 'hope', 'plan', 'change', 'white', 'packaging']",0,0,-0.4782
BBQ - Test 14,8,Like before the taste last longer for some reason.,3,The best way to say this is the taste matched the name.,There's not enough so make the sizes bigger.,"['like', 'taste', 'last', 'long', 'reason']","['best', 'way', 'say', 'taste', 'match', 'name']","['there', 'enough', 'make', 'size', 'big']",0.3612,0.6369,0
BBQ - Control (Texas BBQ),8,"I like that its different than most low calorie snack bars in the sense that those are usually sweet. The savory is a nice change of pace.  I like that the main ingredients are visible and gives a chunky texture and not pieced and soft.  I like the flavor, it doesn't start right away and it hits you in the back end.  The flavor stays with you, so I think that could help with cravings for wanting to eat more.",4,"I was expecting more of a peanut only flavor.I know thats the main ingredient, but the other ingredients and the flavoring are what makes  it better","It matches the stereotypical joke about Nature Valley in the sense that the bars are messy.  I found pieces in my shirt, table and floor after taking a bite, and I'm not typically a messy eater.  The color makes me question what holds the bar together.  I like a little more flavor than most, so I wonder if you could offer a bold and spicy pack and a regular pack","['like', 'different', 'low', 'calorie', 'snack', 'bar', 'sense', 'usually', 'sweet', 'savory', 'nice', 'change', 'pace', 'like', 'main', 'ingredient', 'visible', 'give', 'chunky', 'texture', 'piece', 'soft', 'like', 'flavor', 'doesnt', 'start', 'right', 'away', 'hit', 'back', 'end', 'flavor', 'stay', 'think', 'could', 'help', 'craving', 'want', 'eat']","['expect', 'peanut', 'flavori', 'know', 'thats', 'main', 'ingredient', 'ingredient', 'flavor', 'make', 'better']","['match', 'stereotypical', 'joke', 'nature', 'valley', 'sense', 'bar', 'messy', 'find', 'piece', 'shirt', 'table', 'floor', 'take', 'bite', 'im', 'typically', 'messy', 'eater', 'color', 'make', 'question', 'hold', 'bar', 'together', 'like', 'little', 'flavor', 'wonder', 'could', 'offer', 'bold', 'spicy', 'pack', 'regular', 'pack']",0.9119,0.5927,0.3182
BBQ - Test 13,8,"I like that it is different than most bars because it is savory rather than sweet. I like that the main ingredients are identifiable, I like that the flavor lasts to probably help with cravings and wanting to eat more.",4,The flavor is better than I thought it would be.  I have eaten savory  diet  bars from a weight loss company before and they tasted like metal and not good.,Its extremely crumbly and messy.  I would like to see it not fall apart so easily when you take a bite,"['like', 'different', 'bar', 'savory', 'rather', 'sweet', 'like', 'main', 'ingredient', 'identifiable', 'like', 'flavor', 'last', 'probably', 'help', 'craving', 'want', 'eat']","['flavor', 'well', 'thought', 'would', 'eat', 'savory', 'diet', 'bar', 'weight', 'loss', 'company', 'taste', 'like', 'metal', 'good']","['extremely', 'crumbly', 'messy', 'would', 'like', 'see', 'fall', 'apart', 'easily', 'take', 'bite']",0.9042,0.1764,0.4315
BBQ - Test 14,8,"I like the flavor and how it lasts for a bit, I like how the ingredients are identifiable, I like the crunchy texture, I like that its different than most bars",4,"The flavor was good, better than I thought it would be. It leaves a good after flavor. I thought it would taste most like peanuts, but it didn't, and that was a nice surprise.  I buy flavored nuts and this bar would be nice to add to the variety of my snacks","Its too messy, I think if it was a little less hard/ crunchy it would help it not get everywhere","['like', 'flavor', 'last', 'bite', 'like', 'ingredient', 'identifiable', 'like', 'crunchy', 'texture', 'like', 'different', 'bar']","['flavor', 'good', 'good', 'thought', 'would', 'leave', 'good', 'flavor', 'thought', 'would', 'taste', 'like', 'peanut', 'didnt', 'nice', 'surprise', 'buy', 'flavor', 'nuts', 'bar', 'would', 'nice', 'add', 'variety', 'snack']","['messy', 'think', 'little', 'less', 'hard', 'crunchy', 'would', 'help', 'get', 'everywhere']",0.8402,0.9161,0.0516
BBQ - Control (Texas BBQ),6,I like the taste and aftertaste of bbq.,3,I went into study knowing this wouldn't be an overly sweet granola bar.,slightly sweeter,"['like', 'taste', 'aftertaste', 'bbq']","['go', 'study', 'know', 'wouldnt', 'overly', 'sweet', 'granola', 'bar']","['slightly', 'sweeter']",0.3612,0.4588,0
BBQ - Test 13,6,strong bbq taste,3,product seems like what I would imagine a savory granola bar would taste like,slightly sweeter,"['strong', 'bbq', 'taste']","['product', 'seem', 'like', 'would', 'imagine', 'savory', 'granola', 'bar', 'would', 'taste', 'like']","['slightly', 'sweeter']",0.5106,0.6124,0
BBQ - Test 14,6,sweetest of the 3 products,3,"nice size, taste, and crunchiness",,"['sweet', '3', 'product']","['nice', 'size', 'taste', 'crunchiness']",['nan'],0,0.4215,0
BBQ - Control (Texas BBQ),7,"I like the immediate salty taste and the texture overall. There is a nice warm/hot aftertaste that isn't too strong but suggests the BBQ flavor. It isn't TOO hard (as some similar bars are), so it is both easy to bite and chew.",4,I'm really digging the texture. I eat a lot of nature valley granola bars and I think I prefer this texture (a little less hard and crunchy). The BBQ is there and it remains me a bit of it on potato chips. I might want the flavor to be a little more clear but it was the only one of the three that captured what I'm looking for in this  new  product type.,"I want a little more immediate, upfront BBQ flavor. My preference would be leaning it toward the sweet spectrum, maybe a bit of a honey flavor. I like this bar best since the flavor was more noticeable, but I tend to like the sweeter BBQ flavors over the hot (so like Honey BBQ chips over spicy BBQ)","['like', 'immediate', 'salty', 'taste', 'texture', 'overall', 'nice', 'warmhot', 'aftertaste', 'isnt', 'strong', 'suggest', 'bbq', 'flavor', 'isnt', 'hard', 'similar', 'bar', 'easy', 'bite', 'chew']","['im', 'really', 'digging', 'texture', 'eat', 'lot', 'nature', 'valley', 'granola', 'bar', 'think', 'prefer', 'texture', 'little', 'less', 'hard', 'crunchy', 'bbq', 'remain', 'bit', 'potato', 'chip', 'might', 'want', 'flavor', 'little', 'clear', 'one', 'three', 'capture', 'im', 'look', 'new', 'product', 'type']","['want', 'little', 'immediate', 'upfront', 'bbq', 'flavor', 'preference', 'would', 'lean', 'toward', 'sweet', 'spectrum', 'maybe', 'bit', 'honey', 'flavor', 'like', 'bar', 'best', 'since', 'flavor', 'noticeable', 'tend', 'like', 'sweeter', 'bbq', 'flavor', 'hot', 'like', 'honey', 'bbq', 'chip', 'spicy', 'bbq']",0.7264,0.26,0.9001
