product,Question,Response,Sentiment Score,Response value,lemm
BBQ - Control (Texas BBQ),Liking,The taste lasts longer than normal,0,8,"['taste', 'last', 'long', 'normal']"
BBQ - Test 13,Liking,The taste last longer than usual,0,8,"['taste', 'last', 'long', 'usual']"
BBQ - Test 14,Liking,Like before the taste last longer for some reason.,36.12,8,"['like', 'taste', 'last', 'long', 'reason']"
BBQ - Control (Texas BBQ),Liking,"I like that its different than most low calorie snack bars in the sense that those are usually sweet. The savory is a nice change of pace.  I like that the main ingredients are visible and gives a chunky texture and not pieced and soft.  I like the flavor, it doesn't start right away and it hits you in the back end.  The flavor stays with you, so I think that could help with cravings for wanting to eat more.",91.19,8,"['like', 'different', 'low', 'calorie', 'snack', 'bar', 'sense', 'usually', 'sweet', 'savory', 'nice', 'change', 'pace', 'like', 'main', 'ingredient', 'visible', 'give', 'chunky', 'texture', 'piece', 'soft', 'like', 'flavor', 'doesnt', 'start', 'right', 'away', 'hit', 'back', 'end', 'flavor', 'stay', 'think', 'could', 'help', 'craving', 'want', 'eat']"
BBQ - Test 13,Liking,"I like that it is different than most bars because it is savory rather than sweet. I like that the main ingredients are identifiable, I like that the flavor lasts to probably help with cravings and wanting to eat more.",90.42,8,"['like', 'different', 'bar', 'savory', 'rather', 'sweet', 'like', 'main', 'ingredient', 'identifiable', 'like', 'flavor', 'last', 'probably', 'help', 'craving', 'want', 'eat']"
BBQ - Test 14,Liking,"I like the flavor and how it lasts for a bit, I like how the ingredients are identifiable, I like the crunchy texture, I like that its different than most bars",84.02,8,"['like', 'flavor', 'last', 'bite', 'like', 'ingredient', 'identifiable', 'like', 'crunchy', 'texture', 'like', 'different', 'bar']"
BBQ - Control (Texas BBQ),Liking,I like the taste and aftertaste of bbq.,36.12,6,"['like', 'taste', 'aftertaste', 'bbq']"
BBQ - Test 13,Liking,strong bbq taste,51.06,6,"['strong', 'bbq', 'taste']"
BBQ - Test 14,Liking,sweetest of the 3 products,0,6,"['sweet', '3', 'product']"
BBQ - Control (Texas BBQ),Liking,"I like the immediate salty taste and the texture overall. There is a nice warm/hot aftertaste that isn't too strong but suggests the BBQ flavor. It isn't TOO hard (as some similar bars are), so it is both easy to bite and chew.",72.64,7,"['like', 'immediate', 'salty', 'taste', 'texture', 'overall', 'nice', 'warmhot', 'aftertaste', 'isnt', 'strong', 'suggest', 'bbq', 'flavor', 'isnt', 'hard', 'similar', 'bar', 'easy', 'bite', 'chew']"
BBQ - Test 13,Liking,I think the texture and crunch is pretty nice. There is a little  heat  after tasting that I kind of enjoy.,83.63,5,"['think', 'texture', 'crunch', 'pretty', 'nice', 'little', 'heat', 'taste', 'kind', 'enjoy']"
BBQ - Test 14,Liking,"This one is a bit more crunchy. It is at the edge of hardness. I wouldn't want it harder. The BBQ taste is a little more upfront, which I like. The texture and crunch is pretty nice overall.",81.97,7,"['one', 'bit', 'crunchy', 'edge', 'hardness', 'wouldnt', 'want', 'harder', 'bbq', 'taste', 'little', 'upfront', 'like', 'texture', 'crunch', 'pretty', 'nice', 'overall']"
BBQ - Control (Texas BBQ),Liking,The crunch,0,4,['crunch']
BBQ - Test 13,Liking,The crunch of the bar.,0,3,"['crunch', 'bar']"
BBQ - Test 14,Liking,The crunch and the bar looks tasty.,0,7,"['crunch', 'bar', 'look', 'tasty']"
BBQ - Control (Texas BBQ),Liking,Its crunchy. Packaging makes its an easy snack for on the go. It is something unique that I've not had before. Flavor reminds me of bbq chips.,44.04,3,"['crunchy', 'packaging', 'make', 'easy', 'snack', 'go', 'something', 'unique', 'ive', 'flavor', 'remind', 'bbq', 'chip']"
BBQ - Test 13,Liking,I like the flavor better. reminds me of Lays bbq chips. The after taste hangs around more.  The peanuts in this one also have a dominant taste.,65.97,6,"['like', 'flavor', 'well', 'remind', 'lays', 'bbq', 'chip', 'taste', 'hang', 'around', 'peanut', 'one', 'also', 'dominant', 'taste']"
BBQ - Test 14,Liking,I do like the crunchiness. I also stayed together better and wasn't as messy.,75.87,2,"['like', 'crunchiness', 'also', 'stay', 'together', 'good', 'wasnt', 'messy']"
BBQ - Control (Texas BBQ),Liking,The crunchiness and the taste.,0,7,"['crunchiness', 'taste']"
BBQ - Test 13,Liking,I like the crunchiness and and the taste a little bit.,36.12,6,"['like', 'crunchiness', 'taste', 'little', 'bit']"
BBQ - Test 14,Liking,I liked the taste and texture of this one.,42.15,7,"['like', 'taste', 'texture', 'one']"
BBQ - Control (Texas BBQ),Liking,What I like about this product is the flavors and texture of the ingredients and freshness.,36.12,9,"['like', 'product', 'flavor', 'texture', 'ingredient', 'freshness']"
BBQ - Test 13,Liking,The product was too hard for my teeth I felt like they were going to break.,27.32,4,"['product', 'hard', 'teeth', 'felt', 'like', 'go', 'break']"
BBQ - Test 14,Liking,What I like about the product is the flavor and texture of it,36.12,7,"['like', 'product', 'flavor', 'texture']"
BBQ - Control (Texas BBQ),Liking,The savory bbq flavor and the crunch.,0,4,"['savory', 'bbq', 'flavor', 'crunch']"
BBQ - Test 13,Liking,The barbecue flavor and crunch when biting into the product.,0,8,"['barbecue', 'flavor', 'crunch', 'bite', 'product']"
BBQ - Test 14,Liking,It has a great crunch,62.49,7,"['great', 'crunch']"
BBQ - Control (Texas BBQ),Liking,once chewed it becomes very creamy in your mouth and the flavor comes and goes and is not pleasing,-41.68,2,"['chew', 'becomes', 'creamy', 'mouth', 'flavor', 'come', 'go', 'please']"
BBQ - Test 13,Liking,flavor is not overpowering,0,5,"['flavor', 'overpower']"
BBQ - Test 14,Liking,not much,0,2,['much']
BBQ - Control (Texas BBQ),Liking,I like the crunchiness of this bar. I like the taste of the nuts and smoky taste,40.19,8,"['like', 'crunchiness', 'bar', 'like', 'taste', 'nut', 'smoky', 'taste']"
BBQ - Test 13,Liking,I like the taste and the smoky flavor I get with each bite. I also enjoy the crispy pieces that I taste with each bite,69.08,8,"['like', 'taste', 'smoky', 'flavor', 'get', 'bite', 'also', 'enjoy', 'crispy', 'piece', 'taste', 'bite']"
