product,Question,Response,Sentiment Score,Response value,lemm
Yoplait OSY,Liking,I like the taste. I like how creamy it is. I like the chunks of strawberries.,75.79,8,"['like', 'taste', 'like', 'creamy', 'like', 'chunk', 'strawberry']"
Chobani Smooth,Liking,Great consistency. It lived up to the  smooth  name.,62.49,8,"['great', 'consistency', 'live', 'smooth', 'name']"
Yoplait OSY,Liking,I enjoy the flavor of the yogurt and the tart of it. I also like the amount of fruit on the bottom.,69.08,9,"['enjoy', 'flavor', 'yogurt', 'tart', 'also', 'like', 'amount', 'fruit', 'bottom']"
Chobani Smooth,Liking,"Smooth and creamy with no seeds, tastes like strawberry ice cream.  No bad aftertaste.",-65.97,8,"['smooth', 'creamy', 'seed', 'taste', 'like', 'strawberry', 'ice', 'cream', 'bad', 'aftertaste']"
Yoplait OSY,Liking,Did not have a sour taste like some Greek yogurts,36.12,7,"['sour', 'taste', 'like', 'greek', 'yogurt']"
Chobani Smooth,Liking,It was very creamy. The bits of strawberry added flavor.,0,4,"['creamy', 'bit', 'strawberry', 'add', 'flavor']"
Yoplait OSY,Liking,"I like the creaminess, texture, and pleasant aftertaste. I really enjoy the thickness of this Chobani Greek Yogurt.",85.16,8,"['like', 'creaminess', 'texture', 'pleasant', 'aftertaste', 'really', 'enjoy', 'thickness', 'chobani', 'greek', 'yogurt']"
Chobani Smooth,Liking,"Very smooth, a great taste that's a balance of sweet and tangy. I liked that it tasted more like Greek yogurt than regular yogurt.",91.81,7,"['smooth', 'great', 'taste', 'thats', 'balance', 'sweet', 'tangy', 'like', 'taste', 'like', 'greek', 'yogurt', 'regular', 'yogurt']"
Yoplait OSY,Liking,I liked the strawberry flavor and the creamy Greek style consistency. I also liked the nutritional info.,68.08,9,"['like', 'strawberry', 'flavor', 'creamy', 'greek', 'style', 'consistency', 'also', 'like', 'nutritional', 'info']"
Chobani Smooth,Liking,It has a nice pink color and pleasant strawberry smell.  I enjoyed the smooth texture and a good aftertaste.  The amount of sweetness was just right as well.,94.85,8,"['nice', 'pink', 'color', 'pleasant', 'strawberry', 'smell', 'enjoy', 'smooth', 'texture', 'good', 'aftertaste', 'amount', 'sweetness', 'right', 'well']"
Yoplait OSY,Liking,good amount of real fruit mixed with yogurt  -just the right amount of sweetness  -liked the thickness and texture of this sample  -pleasant aftertaste,90.42,8,"['good', 'amount', 'real', 'fruit', 'mixed', 'yogurt', 'right', 'amount', 'sweetness', 'like', 'thickness', 'texture', 'sample', 'pleasant', 'aftertaste']"
Chobani Smooth,Liking,it was smooth without chunks,0,7,"['smooth', 'without', 'chunk']"
Yoplait OSY,Liking,"It's a healthy, packaged option for getting protein. It's sweet, but not terribly sugary tasting. The design of the package is easy to hold.",89.06,4,"['healthy', 'package', 'option', 'get', 'protein', 'sweet', 'terribly', 'sugary', 'taste', 'design', 'package', 'easy', 'hold']"
Chobani Smooth,Liking,Smooth and creamy texture. Good flavor.,44.04,7,"['smooth', 'creamy', 'texture', 'good', 'flavor']"
Yoplait OSY,Liking,Creamy  Smooth  Filling  Ample chunks of strawberry  Real fruit  No after taste  Low in caleries  12 G protein,-51.06,8,"['creamy', 'smooth', 'filling', 'ample', 'chunk', 'strawberry', 'real', 'fruit', 'taste', 'low', 'caleries', '12', 'g', 'protein']"
Chobani Smooth,Liking,"I like the flavor of the yogurt, and it has a nice strawberry taste. It was creamy and smooth.",64.86,8,"['like', 'flavor', 'yogurt', 'nice', 'strawberry', 'taste', 'creamy', 'smooth']"
Yoplait OSY,Liking,Thick creamy consistency and strong flavor,51.06,8,"['thick', 'creamy', 'consistency', 'strong', 'flavor']"
Chobani Smooth,Liking,The creaminess and the smoothness.,0,8,"['creaminess', 'smoothness']"
Yoplait OSY,Liking,"Very satisfying, smooth, creamy",50.95,9,"['satisfy', 'smooth', 'creamy']"
Chobani Smooth,Liking,"The yogurt is very creamy, the strawberry taste is not tart but very sweet and very present in the product, the chunks of fruit are nice and just the right amount.",84.58,9,"['yogurt', 'creamy', 'strawberry', 'taste', 'tart', 'sweet', 'present', 'product', 'chunk', 'fruit', 'nice', 'right', 'amount']"
Yoplait OSY,Liking,The packaging is nice and it clearly states what is inside: greek yogurt with strawberry on the bottom,67.05,7,"['packaging', 'nice', 'clearly', 'state', 'inside', 'greek', 'yogurt', 'strawberry', 'bottom']"
Chobani Smooth,Liking,level of sweetness - not too sugary,49.39,7,"['level', 'sweetness', 'sugary']"
Yoplait OSY,Liking,"Creamy, nice strawberry flavor, not too sweet",8.23,8,"['creamy', 'nice', 'strawberry', 'flavor', 'sweet']"
Chobani Smooth,Liking,I liked that the yogurt had more protein than regular yogurt.,42.15,3,"['like', 'yogurt', 'protein', 'regular', 'yogurt']"
Yoplait OSY,Liking,Not sweet. Small globs made seem rich/creamy/thick (like cottage cheese).,-35.7,7,"['sweet', 'small', 'glob', 'make', 'seem', 'richcreamythick', 'like', 'cottage', 'cheese']"
Chobani Smooth,Liking,Thin-ness of yogurt. Smoothness.,0,7,"['thinness', 'yogurt', 'smoothness']"
Yoplait OSY,Liking,The strawberry flavor and the fruit pieces.,0,7,"['strawberry', 'flavor', 'fruit', 'piece']"
Chobani Smooth,Liking,Creamy and rich,55.74,7,"['creamy', 'rich']"
Yoplait OSY,Liking,"creamy texture, strawberry flavor good",44.04,8,"['creamy', 'texture', 'strawberry', 'flavor', 'good']"
Chobani Smooth,Liking,The extra creamy consistency,0,7,"['extra', 'creamy', 'consistency']"
Yoplait OSY,Liking,"I like the thickness, taste, texture, strawberry chunks and not just strawberry flavor. I like that it has a lot of protein and only 100 calories. I also like that it is a natural color and not artificially dyed.",84.02,8,"['like', 'thickness', 'taste', 'texture', 'strawberry', 'chunk', 'strawberry', 'flavor', 'like', 'lot', 'protein', '100', 'calorie', 'also', 'like', 'natural', 'color', 'artificially', 'dye']"
Chobani Smooth,Liking,"Price, less sugar, more protein, strawberry flavor. I would have wanted to eat another one right after this because the flavor was good.",44.04,7,"['price', 'le', 'sugar', 'protein', 'strawberry', 'flavor', 'would', 'want', 'eat', 'another', 'one', 'right', 'flavor', 'good']"
Yoplait OSY,Liking,Very Smooth and Creamy texture.,0,8,"['smooth', 'creamy', 'texture']"
Chobani Smooth,Liking,I like the smooth texture and even flavors throughout,36.12,7,"['like', 'smooth', 'texture', 'even', 'flavor', 'throughout']"
Yoplait OSY,Liking,I really liked the thickness of it - it felt heavy (solid),47.54,4,"['really', 'liked', 'thickness', 'felt', 'heavy', 'solid']"
Chobani Smooth,Liking,"Smoothness, the right amount of sweetness",49.39,7,"['smoothness', 'right', 'amount', 'sweetness']"
Yoplait OSY,Liking,"The nutrition label was one of the top reasons I liked this yogurt. I love that it is fat free!     Looking at the first page, I thought there were a variety of appealing flavors to choose from.    Taste: The texture was pretty good, but it could have been smoother. I stirred mine quite a bit and still had some small chunks of yogurt. However, I really liked the size and taste of the strawberries!",92.44,8,"['nutrition', 'label', 'one', 'top', 'reason', 'like', 'yogurt', 'love', 'fat', 'free', 'look', 'first', 'page', 'think', 'variety', 'appeal', 'flavor', 'choose', 'taste', 'texture', 'pretty', 'good', 'could', 'smoother', 'stir', 'mine', 'quite', 'bit', 'still', 'small', 'chunk', 'yogurt', 'however', 'really', 'liked', 'size', 'taste', 'strawberry']"
