product_code,liking_free_text_no_punc_tokenized_no_stop_lemm,1,2,3,like_compound,question
581,taste last long normal,0,,,0,Liking
623,taste last long usual,0,,,0,Liking
802,like taste last long reason,0.3612,,,0.3612,Liking
581,like different low calorie snack bar sense usually sweet savory nice change pace like main ingredient visible give chunky texture piece soft like flavor doesnt start right away hit back end flavor stay think could help craving want eat,0.9119,,,0.9119,Liking
623,like different bar savory rather sweet like main ingredient identifiable like flavor last probably help craving want eat,0.9042,,,0.9042,Liking
802,like flavor last bite like ingredient identifiable like crunchy texture like different bar,0.8402,,,0.8402,Liking
581,like taste aftertaste bbq,0.3612,,,0.3612,Liking
623,strong bbq taste,0.5106,,,0.5106,Liking
802,sweet 3 product,0,,,0,Liking
581,like immediate salty taste texture overall nice warmhot aftertaste isnt strong suggest bbq flavor isnt hard similar bar easy bite chew,0.7264,,,0.7264,Liking
623,think texture crunch pretty nice little heat taste kind enjoy,0.8363,,,0.8363,Liking
802,one bit crunchy edge hardness wouldnt want harder bbq taste little upfront like texture crunch pretty nice overall,0.8197,,,0.8197,Liking
581,crunch,0,,,0,Liking
581,crunch,0,,,0,Liking
623,crunch bar,0,,,0,Liking
802,crunch bar look tasty,0,,,0,Liking
581,crunchy packaging make easy snack go something unique ive flavor remind bbq chip,0.4404,,,0.4404,Liking
623,like flavor well remind lays bbq chip taste hang around peanut one also dominant taste,0.6597,,,0.6597,Liking
802,like crunchiness also stay together good wasnt messy,0.7587,,,0.7587,Liking
581,crunchiness taste,0,,,0,Liking
623,like crunchiness taste little bit,0.3612,,,0.3612,Liking
802,like taste texture one,0.4215,,,0.4215,Liking
581,like product flavor texture ingredient freshness,0.3612,,,0.3612,Liking
623,product hard teeth felt like go break,0.2732,,,0.2732,Liking
802,like product flavor texture,0.3612,,,0.3612,Liking
581,savory bbq flavor crunch,0,,,0,Liking
623,barbecue flavor crunch bite product,0,,,0,Liking
802,great crunch,0.6249,,,0.6249,Liking
581,chew becomes creamy mouth flavor come go please,-0.4168,,,-0.4168,Liking
623,flavor overpower,0,,,0,Liking
802,much,0,,,0,Liking
581,like crunchiness bar like taste nut smoky taste,0.4019,,,0.4019,Liking
623,like taste smoky flavor get bite also enjoy crispy piece taste bite,0.6908,,,0.6908,Liking
802,like crunchiness look product see nut healthy,0.4404,,,0.4404,Liking
581,one difficult decide whether liked dislike first like tangy flavor bar initial taste like texture bar,0.3818,,,0.3818,Liking
623,like texture bar,0.3612,,,0.3612,Liking
802,like initial flavor upon eat also like aftertaste bar like texture well,0.8225,,,0.8225,Liking
581,crunchy savory hint sweetness,0.4939,,,0.4939,Liking
623,bbq flavor,0,,,0,Liking
802,sweet bbq flavor tasty,0.4588,,,0.4588,Liking
581,like strong nut taste roast peanut first ingredient im big fan peanut like product fall apart easily nature valley product,0.9001,,,0.9001,Liking
623,like crunch nutty taste,0.3612,,,0.3612,Liking
802,crunch nuttiness,0,,,0,Liking
581,love familiarity nature valley bar\x97bbq flavor miss though\x97had burnt taste,0.5574,,,0.5574,Liking
623,bbq flavor great\x97great crunch,0,,,0,Liking
802,texture great\x97this one bit spicy zip,0,,,0,Liking
581,appearance really good flavor way peanut season crunch,0.4927,,,0.4927,Liking
623,appearance flavor way bar peanut season,0,,,0,Liking
802,appearance way bar peanut season freshness didnt expect taste fresh,0.4572,,,0.4572,Liking
581,bbq flavor power,0,,,0,Liking
623,bbq flavor little bit spice,0,,,0,Liking
802,flavor overpower leaf taste,0,,,0,Liking
581,like flavor crunchiness also salty finish make want another bite,0.4215,,,0.4215,Liking
623,nothing get flavor plain,0,,,0,Liking
802,dont really like dont really hate either kinda middle,0.566,,,0.566,Liking
581,crunchy nice crunchy texture thats,0.4753,,,0.4753,Liking
623,crunchy,0,,,0,Liking
623,crunchy,0,,,0,Liking
623,crunchy,0,,,0,Liking
623,crunchy,0,,,0,Liking
623,crunchy,0,,,0,Liking
802,plain nasty small amount barbeque flavor,-0.5574,,,-0.5574,Liking
581,like nut nature valley general good addictive savory flavor,0.4767,,,0.4767,Liking
623,nut grain look fine,-0.128,,,-0.128,Liking
802,nut grain everything would want bar except flavor,-0.25,,,-0.25,Liking
581,good amount bbq sweetness like peanut seed primary ingredient tad spicy good snack dont want bunch sugar tho may wrong,0.8008,,,0.8008,Liking
623,product hearty nut seed slight bbq sweetness throat burn,-0.0772,,,-0.0772,Liking
802,slightly sweet bbq flavor crunchy buts seed great,0.7787,,,0.7787,Liking
581,like bite nut bbq flavor light overpower subtle taste seed wholesomeness say provide like,0.5538,,,0.5538,Liking
623,like taste texture good lastingafterbite make want,0.6908,,,0.6908,Liking
802,like flavor savory bite seed nut along texture good balance,0.4767,,,0.4767,Liking
581,like see taste nut seed product smokey bbq flavor subtle detectable,0.0258,,,0.0258,Liking
623,see seed nuts make think healthy,0.1027,,,0.1027,Liking
802,flavor enjoyable nut seed visible seem cook properly,0.1531,,,0.1531,Liking
581,little lack flavor,0,,,0,Liking
623,really like flavor one lot flavor tend gravitate towards thing lot flavor,0.4201,,,0.4201,Liking
802,doesnt seem much flavor specific product show completely crush hard taste,-0.5799,,,-0.5799,Liking
581,sort subtle almost like lay\x92s bbq chip definitely savory good crunch,0.7787,,,0.7787,Liking
623,seed see,0,,,0,Liking
802,savory bbq flavor crunchy seed,0,,,0,Liking
581,taste great,0.6249,,,0.6249,Liking
581,taste great,0.6249,,,0.6249,Liking
623,great texture,0.6249,,,0.6249,Liking
802,taste great,0.6249,,,0.6249,Liking
802,taste great,0.6249,,,0.6249,Liking
581,like peanut like crunch light barbecue taste,0.6124,,,0.6124,Liking
623,like crunch like barbecue flavor peanut,0.6124,,,0.6124,Liking
802,like crunch like make peanut like barbecue flavor,0.7579,,,0.7579,Liking
581,opinion similar 623 feel like one bit spice much smokiness flavor well,0.7964,,,0.7964,Liking
623,perfect amount crunch really smokey bbq flavor love,0.836,,,0.836,Liking
802,overall flavor really minimal seem like im eating nut,0.0516,,,0.0516,Liking
581,pleasant strong bold taste spicy aftertaste crunch level right savory taste,0.8481,,,0.8481,Liking
623,savory good amount spice taste eat pleasant spicy smoky aftertaste eat taste nut high quality ingredient well season crunch,0.7184,,,0.7184,Liking
802,strong smoky taste eat experience product also pleasant spicy kick aftertaste strong bar taste wholesome nut flavor noticeable dominant,0.273,,,0.273,Liking
581,good crunch,0.4404,,,0.4404,Liking
623,salty dont taste much flavor salt,0,,,0,Liking
802,get good crunch,0.4404,,,0.4404,Liking
581,like texture variety crunch,0.3612,,,0.3612,Liking
623,texture flavor variety ingredient,0,,,0,Liking
802,texture variety ingredient flavor,0,,,0,Liking
581,expect bar combination sweet savory however presence savory,0.4588,,,0.4588,Liking
